"Title","Start","End","Duration"
"Meetings","12/02/2015 08:00","12/02/2015 08:30","00:30"
"Non-Technical Work","12/02/2015 08:30","12/02/2015 10:30","02:00"
"Meetings","12/02/2015 10:30","12/02/2015 11:00","00:30"
"Non-Technical Work","12/02/2015 11:00","12/02/2015 18:30","07:30"
"Personal","12/02/2015 18:30","12/02/2015 20:30","02:00"
"Non-Technical Work","12/02/2015 20:30","12/03/2015 00:00","03:30"
"Personal","12/03/2015 00:00","12/03/2015 00:30","00:30"
"Sleep","12/03/2015 00:30","12/03/2015 06:15","05:45"
"Personal","12/03/2015 06:15","12/03/2015 08:00","01:45"
"Meetings","12/03/2015 08:00","12/03/2015 08:30","00:30"
"Non-Technical Work","12/03/2015 08:30","12/03/2015 13:00","04:30"
"Technical Work","12/03/2015 13:00","12/03/2015 18:30","05:30"
"Personal","12/03/2015 18:30","12/03/2015 20:30","02:00"
"Technical Work","12/03/2015 20:30","12/04/2015 00:00","03:30"
"Technical Work","12/04/2015 00:00","12/04/2015 00:30","00:30"
"Personal","12/04/2015 00:30","12/04/2015 01:00","00:30"
"Sleep","12/04/2015 01:00","12/04/2015 06:30","05:30"
"Personal","12/04/2015 06:30","12/04/2015 08:00","01:30"
"Meetings","12/04/2015 08:00","12/04/2015 08:30","00:30"
"Non-Technical Work","12/04/2015 08:30","12/04/2015 10:30","02:00"
"Meetings","12/04/2015 10:30","12/04/2015 11:00","00:30"
"Technical Work","12/04/2015 11:00","12/04/2015 19:00","08:00"
"Personal","12/04/2015 19:00","12/04/2015 21:00","02:00"
"Technical Work","12/04/2015 21:00","12/05/2015 00:00","03:00"
"Personal","12/05/2015 00:00","12/05/2015 00:30","00:30"
"Sleep","12/05/2015 00:30","12/05/2015 06:00","05:30"
"Personal","12/05/2015 06:00","12/05/2015 09:00","03:00"
"Technical Work","12/05/2015 09:00","12/05/2015 12:00","03:00"
"Personal","12/05/2015 12:00","12/05/2015 15:00","03:00"
"Technical Work","12/05/2015 15:00","12/05/2015 18:45","03:45"
"Personal","12/05/2015 18:45","12/05/2015 20:45","02:00"
"Technical Work","12/05/2015 20:45","12/06/2015 00:00","03:15"
"Personal","12/06/2015 00:00","12/06/2015 00:30","00:30"
"Sleep","12/06/2015 00:30","12/06/2015 06:00","05:30"
"Personal","12/06/2015 06:00","12/06/2015 12:00","06:00"
"Technical Work","12/06/2015 12:00","12/06/2015 19:30","07:30"
"Personal","12/06/2015 19:30","12/06/2015 22:00","02:30"
"Sleep","12/06/2015 22:00","12/07/2015 00:00","02:00"
"Sleep","12/07/2015 00:00","12/07/2015 02:00","02:00"
"Travel","12/07/2015 02:00","12/07/2015 14:30","12:30"
"Meetings","12/07/2015 14:30","12/07/2015 22:30","08:00"
"Sleep","12/07/2015 22:30","12/08/2015 00:00","01:30"
"Sleep","12/08/2015 00:00","12/08/2015 06:00","06:00"
"Personal","12/08/2015 06:00","12/08/2015 06:45","00:45"
"Non-Technical Work","12/08/2015 06:45","12/08/2015 08:00","01:15"
"Meetings","12/08/2015 08:00","12/09/2015 00:00","16:00"
"Sleep","12/09/2015 00:00","12/09/2015 06:30","06:30"
"Personal","12/09/2015 06:30","12/09/2015 07:00","00:30"
"Non-Technical Work","12/09/2015 07:00","12/09/2015 08:00","01:00"
"Meetings","12/09/2015 08:00","12/09/2015 08:30","00:30"
"Non-Technical Work","12/09/2015 08:30","12/09/2015 10:30","02:00"
"Meetings","12/09/2015 10:30","12/09/2015 18:00","07:30"
"Non-Technical Work","12/09/2015 18:00","12/09/2015 20:00","02:00"
"Meetings","12/09/2015 20:00","12/10/2015 00:00","04:00"
"Meetings","12/10/2015 00:00","12/10/2015 01:00","01:00"
"Sleep","12/10/2015 01:00","12/10/2015 07:30","06:30"
"Personal","12/10/2015 07:30","12/10/2015 08:00","00:30"
"Meetings","12/10/2015 08:00","12/10/2015 08:30","00:30"
"Non-Technical Work","12/10/2015 08:30","12/10/2015 11:00","02:30"
"Meetings","12/10/2015 11:00","12/10/2015 12:30","01:30"
"Non-Technical Work","12/10/2015 12:30","12/10/2015 16:30","04:00"
"Meetings","12/10/2015 16:30","12/11/2015 00:00","07:30"
"Meetings","12/11/2015 00:00","12/11/2015 00:30","00:30"
"Sleep","12/11/2015 00:30","12/11/2015 07:00","06:30"
"Personal","12/11/2015 07:00","12/11/2015 08:00","01:00"
"Meetings","12/11/2015 08:00","12/11/2015 08:30","00:30"
"Non-Technical Work","12/11/2015 08:30","12/11/2015 11:30","03:00"
"Travel","12/11/2015 11:30","12/12/2015 00:00","12:30"
"Sleep","12/12/2015 00:00","12/12/2015 07:45","07:45"
"Personal","12/12/2015 07:45","12/12/2015 10:45","03:00"
"Non-Technical Work","12/12/2015 10:45","12/12/2015 15:30","04:45"
"Personal","12/12/2015 15:30","12/12/2015 19:30","04:00"
"Non-Technical Work","12/12/2015 19:30","12/13/2015 00:00","04:30"
"Technical Work","12/13/2015 00:00","12/13/2015 00:30","00:30"
"Sleep","12/13/2015 00:30","12/13/2015 06:30","06:00"
"Personal","12/13/2015 06:30","12/13/2015 09:00","02:30"
"Non-Technical Work","12/13/2015 09:00","12/13/2015 15:15","06:15"
"Personal","12/13/2015 15:15","12/13/2015 17:45","02:30"
"Non-Technical Work","12/13/2015 17:45","12/13/2015 20:00","02:15"
"Personal","12/13/2015 20:00","12/13/2015 21:00","01:00"
"Meetings","12/13/2015 21:00","12/13/2015 21:30","00:30"
"Technical Work","12/13/2015 21:30","12/14/2015 00:00","02:30"
"Technical Work","12/14/2015 00:00","12/14/2015 00:30","00:30"
"Sleep","12/14/2015 00:30","12/14/2015 06:30","06:00"
"Personal","12/14/2015 06:30","12/14/2015 08:00","01:30"
"Meetings","12/14/2015 08:00","12/14/2015 08:30","00:30"
"Technical Work","12/14/2015 08:30","12/14/2015 18:30","10:00"
"Personal","12/14/2015 18:30","12/14/2015 21:00","02:30"
"Meetings","12/14/2015 21:00","12/14/2015 21:30","00:30"
"Technical Work","12/14/2015 21:30","12/15/2015 00:00","02:30"
"Sleep","12/15/2015 00:00","12/15/2015 05:30","05:30"
"Personal","12/15/2015 05:30","12/15/2015 07:00","01:30"
"Non-Technical Work","12/15/2015 07:00","12/15/2015 08:00","01:00"
"Meetings","12/15/2015 08:00","12/15/2015 08:30","00:30"
"Technical Work","12/15/2015 08:30","12/15/2015 19:00","10:30"
"Personal","12/15/2015 19:00","12/15/2015 21:00","02:00"
"Meetings","12/15/2015 21:00","12/15/2015 21:30","00:30"
"Technical Work","12/15/2015 21:30","12/16/2015 00:00","02:30"
"Sleep","12/16/2015 00:00","12/16/2015 06:00","06:00"
"Personal","12/16/2015 06:00","12/16/2015 08:00","02:00"
"Meetings","12/16/2015 08:00","12/16/2015 08:30","00:30"
"Technical Work","12/16/2015 08:30","12/16/2015 19:30","11:00"
"Personal","12/16/2015 19:30","12/16/2015 21:00","01:30"
"Meetings","12/16/2015 21:00","12/16/2015 21:30","00:30"
"Technical Work","12/16/2015 21:30","12/17/2015 00:00","02:30"
"Technical Work","12/17/2015 00:00","12/17/2015 01:00","01:00"
"Sleep","12/17/2015 01:00","12/17/2015 05:30","04:30"
"Personal","12/17/2015 05:30","12/17/2015 07:45","02:15"
"Meetings","12/17/2015 07:45","12/17/2015 08:30","00:45"
"Technical Work","12/17/2015 08:30","12/17/2015 19:30","11:00"
"Personal","12/17/2015 19:30","12/18/2015 00:00","04:30"
"Sleep","12/18/2015 00:00","12/18/2015 07:45","07:45"
"Meetings","12/18/2015 07:45","12/18/2015 08:30","00:45"
"Personal","12/18/2015 08:30","12/18/2015 20:30","12:00"
"Sleep","12/18/2015 20:30","12/19/2015 00:00","03:30"
"Sleep","12/19/2015 00:00","12/19/2015 00:30","00:30"
"Travel","12/19/2015 00:30","12/19/2015 14:00","13:30"
"Personal","12/19/2015 14:00","12/19/2015 19:30","05:30"
"Technical Work","12/19/2015 19:30","12/20/2015 00:00","04:30"
